rank,citations,citing author name,affiliation,latitude,longitude,country,citing paper title,cited paper title,county,city,state
193,1662,Yali Du,King's College London,51.503403199999994,-0.08946614662781002,United Kingdom,Multi-agent reinforcement learning for autonomous driving: A survey,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,London,England
194,1654,Marco L Della Vedova,Chalmers University of Technology,57.6897462,11.97652589525446,Sweden,A methodology for controlling bias and fairness in synthetic data generation,Deflating dataset bias using synthetic data augmentation,Västra Götaland County,Gothenburg,
195,1647,Zheng Qu,North Carolina State University,35.7708033,-78.6747332,United States,Offline Tracking System for Autonomous Vehicle Control Systems,Neural network image processing,Wake County,Raleigh,North Carolina
196,1624,Aaron Kline,Stanford University,37.431313849999995,-122.16936535498309,United States,Challenges and opportunities for machine learning classification of behavior and mental state from images,Deflating dataset bias using synthetic data augmentation,Santa Clara County,,California
197,1617,Faizan Khan,Unknown affiliation,,,,Genethos: A synthetic data generation system with bias detection and mitigation,Deflating dataset bias using synthetic data augmentation,,,
198,1547,Joel Janai,Robert Bosch GmbH,48.785353799999996,9.062092480336004,Germany,Method and device for recognizing a parking space for a vehicle using machine learning methods,Enhanced vehicle operation,Landkreis Ludwigsburg,,Baden-Württemberg
199,1544,Eric Frankel,Unknown affiliation,,,,Neural network for object detection and tracking,Deflating dataset bias using synthetic data augmentation,,,
200,1541,Tianyun Zhang,Cleveland State University,41.50258335,-81.67508708526213,United States,Deep transfer learning for intelligent vehicle perception: A survey,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Cuyahoga County,Cleveland,Ohio
201,1539,Varsha Asrani,University of Auckland,-36.8660955,174.77373309361866,New Zealand,Data and model bias in artificial intelligence for healthcare applications in New Zealand,Deflating dataset bias using synthetic data augmentation,,Auckland,Auckland
202,1539,Varsha Asrani,Auckland City Hospital,-36.85946825,174.76993745260185,New Zealand,Data and model bias in artificial intelligence for healthcare applications in New Zealand,Deflating dataset bias using synthetic data augmentation,,Auckland,Auckland
203,1533,Lei Cao,Mount Sinai,28.5388088,33.9751845,Egypt,"Active data collection,sampling,and generation for use in training machine learning models for automotive or other applications",Neural network image processing,,Saint Catherine,South Sinai
204,1488,Rayson Laroca,Pontifical Catholic University of Paraná (PUCPR),,,,A first look at dataset bias in license plate recognition,deepPIC: Deep perceptual image clustering for identifying bias in vision datasets,,,
205,1482,Plinio Moreno,Univ Lisboa,38.7525379,-9.156845594636383,Portugal,Data Augmentation Based on Virtual Wrist Devices for Fall Detection,Deflating dataset bias using synthetic data augmentation,Lisbon,Lisbon,
206,1442,Abolfazl Asudeh,University of Illinois Chicago,41.872236,-87.68197091508743,United States,Representation bias in data: A survey on identification and resolution techniques,Deflating dataset bias using synthetic data augmentation,Cook County,Chicago,Illinois
207,1442,Abolfazl Asudeh,University of Illinois Chicago,41.872236,-87.68197091508743,United States,A survey on techniques for identifying and resolving representation bias in data,Deflating dataset bias using synthetic data augmentation,Cook County,Chicago,Illinois
208,1404,Jing Lu,Hong Kong Polytechnic University,22.302644,114.1776025,China,Offline Tracking System for Autonomous Vehicle Control Systems,Neural network image processing,,Kowloon,Hong Kong
209,1367,Julien Phillip,Netflix Eyeline Studios,,,,A Diffusion Approach to Radiance Field Relighting using Multi-Illumination Synthesis,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,,
210,1346,Hamid Mcheick,Chicoutimi,48.3370248,-71.12352613559267,Canada,"A Systematic Literature Review on AI Safety: Identifying Trends,Challenges and Future Directions",deepPIC: Deep perceptual image clustering for identifying bias in vision datasets,,Saguenay,Quebec
